event_id,draw_date,stream,prior_draw_date,prior_result_used_as_seed,seed,base4,seed_core,actual_core,last1_aabc_core,last2_aabc_core,last3_aabc_core,target_core,config,evidence_score,rule_count,max_precision,max_lift,total_support,total_target_hits,final_stream_core_score,has_rule_evidence,matrix_rank_in_stream,daily_opportunity_rank,stream_core_rank_by_deep_score,HISTORY_THROUGH,PLAY_DATE,core_score,full_core_rank,daily_opportunity_rank_num,is_watched8_core,watched8_rank,prior_seed_core,last1_norm,prior_seed_core_for_transition,global_prevcore_to_core_count,stream_prevcore_to_core_count,stream_core_hit_count,lane_top4_normal,lane_watched8_transition,lane_watched8_buried,lane_stream_affinity,trap_keep,trap_lane,trap_lane_weight,trap_priority_score
70,2026-06-18,"Tri-State (ME, NH & VT) | Pick 4 Evening",2026-06-17,3605,3605,,,,039,079,456,027,ALL_BALANCED,62.690560837981764,19.0,1.0,1.9704,373.0,276.0,62.690560837981764,True,1,4,1,2026-06-17,2026-06-18,62.690560837981764,1,4,True,1,,039,,0,0,4,True,False,False,True,True,STREAM_AFFINITY,4,523.8916962932936
16,2026-06-18,Idaho | Pick 4 Night,2026-06-17,7194,7194,,,,378,679,017,679,ALL_BALANCED,24.03096418506615,8.0,0.8462,1.5844,141.0,104.0,24.03096418506615,True,3,366,3,2026-06-17,2026-06-18,24.03096418506615,3,366,True,1,,378,,0,0,3,True,False,False,False,True,TOP4_NORMAL,3,609.7608374647732
46,2026-06-18,Ohio | Pick 4 Midday,2026-06-17,4577,4577,,457,,457,234,359,679,ALL_BALANCED,23.7528873449733,8.0,0.8182,1.6521,95.0,74.0,23.7528873449733,True,5,377,5,2026-06-17,2026-06-18,23.7528873449733,5,377,True,2,457,457,457,3,0,5,True,True,False,True,True,WATCHED8_TRANSITION,2,916.5635105707406
73,2026-06-18,"Washington, D.C. | DC-4 11:30pm",2026-06-17,1142,1142,,124,,124,014,257,389,ALL_BALANCED,23.64903635833961,7.0,0.9,1.7593,161.0,118.0,23.64903635833961,True,6,385,6,2026-06-17,2026-06-18,23.64903635833961,6,385,True,1,124,124,124,3,0,4,True,True,False,True,True,WATCHED8_TRANSITION,2,915.9771627254189
7,2026-06-18,Connecticut | Play 4 Night,2026-06-17,8751,8751,,,,029,039,258,457,ALL_BALANCED,23.51480646139412,8.0,0.8,1.5649,118.0,87.0,23.51480646139412,True,6,390,6,2026-06-17,2026-06-18,23.51480646139412,6,390,True,1,,029,,0,0,1,True,False,False,False,True,TOP4_NORMAL,3,608.430182261488
51,2026-06-18,Oregon | Pick 4 4pm,2026-06-17,1658,1658,,,,348,569,489,679,ALL_BALANCED,23.33055338522287,7.0,0.9,1.7108,151.0,113.0,23.33055338522287,True,3,403,3,2026-06-17,2026-06-18,23.33055338522287,3,403,True,2,,348,,0,0,7,True,False,False,True,True,STREAM_AFFINITY,4,511.515693684828
65,2026-06-18,Texas | Daily 4 Day,2026-06-17,7301,7301,,,,129,258,045,389,ALL_BALANCED,23.214594990569253,8.0,0.75,1.4661,142.0,104.0,23.214594990569253,True,5,410,5,2026-06-17,2026-06-18,23.214594990569253,5,410,True,2,,129,,0,0,4,True,False,False,True,True,STREAM_AFFINITY,4,509.87510824669926
12,2026-06-18,Georgia | Cash 4 Evening,2026-06-17,1129,1129,,129,,129,467,348,679,ALL_BALANCED,23.205552200476067,7.0,0.8,1.5489,184.0,135.0,23.205552200476067,True,10,412,10,2026-06-17,2026-06-18,23.205552200476067,10,412,True,1,129,129,129,0,0,2,True,False,False,False,True,TOP4_NORMAL,3,608.6219432701666
56,2026-06-18,Puerto Rico | Pega 4 Noche,2026-06-17,7495,7495,,,,237,127,037,389,ALL_BALANCED,23.083706940254263,7.0,0.9231,1.7921,102.0,80.0,23.083706940254263,True,5,419,5,2026-06-17,2026-06-18,23.083706940254263,5,419,True,1,,237,,0,0,4,True,False,False,True,True,STREAM_AFFINITY,4,509.82929742908897
53,2026-06-18,Pennsylvania | Pick 4 Day,2026-06-17,4930,4930,,,,137,015,049,389,ALL_BALANCED,22.766408189179522,8.0,0.8,1.5638,116.0,85.0,22.766408189179522,True,6,439,6,2026-06-17,2026-06-18,22.766408189179522,6,439,True,2,,137,,0,0,2,True,False,False,False,True,TOP4_NORMAL,3,608.6682428662128
5,2026-06-18,California | Daily 4,2026-06-17,8070,8070,,078,,078,478,379,457,ALL_BALANCED,22.634979368596532,8.0,0.8,1.5671,102.0,76.0,22.634979368596532,True,4,450,4,2026-06-17,2026-06-18,22.634979368596532,4,450,True,2,078,078,078,1,0,2,True,False,False,False,True,TOP4_NORMAL,3,610.7222427790088
54,2026-06-18,Pennsylvania | Pick 4 Evening,2026-06-17,2095,2095,,,,029,128,235,027,ALL_BALANCED,22.605675593091615,7.0,0.8462,1.7023,104.0,80.0,22.605675593091615,True,2,452,2,2026-06-17,2026-06-18,22.605675593091615,2,452,True,1,,029,,0,0,6,True,False,False,True,True,STREAM_AFFINITY,4,510.81198645758207
70,2026-06-18,"Tri-State (ME, NH & VT) | Pick 4 Evening",2026-06-17,3605,3605,,,,039,079,456,457,ALL_BALANCED,22.47820603705193,7.0,0.8095,1.5947,155.0,112.0,22.47820603705193,True,8,466,8,2026-06-17,2026-06-18,22.47820603705193,8,466,True,2,,039,,0,0,6,True,False,False,True,True,STREAM_AFFINITY,4,510.4673721129682
25,2026-06-18,Louisiana | Pick 4,2026-06-17,5192,5192,,,,458,015,347,679,ALL_BALANCED,21.91622265812526,7.0,0.9,1.6853,134.0,99.0,21.91622265812526,True,6,501,6,2026-06-17,2026-06-18,21.91622265812526,6,501,True,2,,458,,0,0,5,True,False,False,True,True,STREAM_AFFINITY,4,509.87067793034385
47,2026-06-18,Ontario | Pick 4 Evening,2026-06-17,8907,8907,,,,789,127,059,679,ALL_BALANCED,21.836183101677218,8.0,0.8,1.5388,97.0,73.0,21.836183101677218,True,3,506,3,2026-06-17,2026-06-18,21.836183101677218,3,506,True,1,,789,,0,0,7,True,False,False,True,True,STREAM_AFFINITY,4,510.992664085587
24,2026-06-18,Kentucky | Pick 4 Midday,2026-06-17,4647,4647,,467,,467,017,357,567,ALL_BALANCED,21.413458029655775,7.0,0.8,1.6533,118.0,85.0,21.413458029655775,True,6,539,6,2026-06-17,2026-06-18,21.413458029655775,6,539,True,1,467,467,467,1,0,7,True,False,False,True,True,STREAM_AFFINITY,4,512.6947103103796
37,2026-06-18,New Jersey | Pick 4 Evening,2026-06-17,2990,2990,,029,,029,346,135,389,ALL_BALANCED,20.934345422897128,7.0,0.8182,1.5885,95.0,72.0,20.934345422897128,True,9,579,9,2026-06-17,2026-06-18,20.934345422897128,9,579,True,1,029,029,029,0,0,7,True,False,False,True,True,STREAM_AFFINITY,4,510.377020898014
29,2026-06-18,Massachusetts | Numbers Game Midday,2026-06-17,5825,5825,,258,,258,389,389,457,ALL_BALANCED,20.90060800235685,6.0,0.9091,1.7908,96.0,75.0,20.90060800235685,True,7,582,7,2026-06-17,2026-06-18,20.90060800235685,7,582,True,1,258,258,258,2,0,2,True,False,False,False,True,TOP4_NORMAL,3,611.9652128008249
15,2026-06-18,Idaho | Pick 4 Day,2026-06-17,4455,4455,,,,469,578,126,457,ALL_BALANCED,20.899370279792645,7.0,0.8,1.5715,116.0,86.0,20.899370279792645,True,7,583,7,2026-06-17,2026-06-18,20.899370279792645,7,583,True,1,,469,,0,0,5,True,False,False,True,True,STREAM_AFFINITY,4,509.4647795979274
2,2026-06-18,Arkansas | Cash 4 Evening,2026-06-17,4797,4797,,479,,479,368,346,138,ALL_BALANCED,20.794435962619815,6.0,0.9,1.8745,79.0,62.0,20.794435962619815,True,13,593,13,2026-06-17,2026-06-18,20.794435962619815,13,593,True,2,479,479,479,1,0,4,True,False,False,True,True,STREAM_AFFINITY,4,510.62805258691697
38,2026-06-18,New Jersey | Pick 4 Midday,2026-06-17,3753,3753,,357,,357,167,246,457,ALL_BALANCED,20.703273960216677,7.0,0.8462,1.6668,82.0,63.0,20.703273960216677,True,7,604,7,2026-06-17,2026-06-18,20.703273960216677,7,604,True,1,357,357,357,0,0,5,True,False,False,True,True,STREAM_AFFINITY,4,509.39614588607583
64,2026-06-18,Tennessee | Cash 4 Morning,2026-06-17,7856,7856,,,,018,148,237,138,ALL_BALANCED,20.630697978182624,7.0,0.8333,1.7076,96.0,70.0,20.630697978182624,True,4,608,4,2026-06-17,2026-06-18,20.630697978182624,4,608,True,1,,018,,0,0,5,True,False,False,True,True,STREAM_AFFINITY,4,509.52074429236393
43,2026-06-18,North Carolina | Pick 4 Daytime,2026-06-17,7884,7884,,478,,478,457,268,145,ALL_BALANCED,20.61969513315974,6.0,1.0,1.9845,102.0,79.0,20.61969513315974,True,11,609,11,2026-06-17,2026-06-18,20.61969513315974,11,609,True,1,478,478,478,1,0,7,True,False,False,True,True,STREAM_AFFINITY,4,512.166893296606
78,2026-06-18,Wisconsin | Pick 4 Evening,2026-06-17,4125,4125,,,,019,035,467,027,ALL_BALANCED,20.499547317343925,7.0,0.8182,1.6001,91.0,68.0,20.499547317343925,True,10,616,10,2026-06-17,2026-06-18,20.499547317343925,10,616,True,1,,019,,0,0,4,True,False,False,True,True,STREAM_AFFINITY,4,508.67484156107037
9,2026-06-18,Delaware | Play 4 Night,2026-06-17,9809,9809,,089,,089,124,128,389,ALL_BALANCED,20.476767368007806,7.0,0.8,1.5468,129.0,94.0,20.476767368007806,True,3,618,3,2026-06-17,2026-06-18,20.476767368007806,3,618,True,1,089,089,089,2,0,3,True,False,False,False,True,TOP4_NORMAL,3,612.5168685788027
0,2026-06-18,Arizona | Pick 4 Evening,2026-06-17,4924,4924,,249,,249,469,,067,ALL_BALANCED,20.173003467898468,6.0,0.7917,1.588,127.0,94.0,20.173003467898468,True,9,643,9,2026-06-17,2026-06-18,20.173003467898468,9,643,True,2,249,249,249,1,0,0,True,False,False,False,True,TOP4_NORMAL,3,608.6105512137644
